"사용일자","호선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20191101","9호선2~3단계","4126","언주",11333,11216,"20191104"
"20191101","우이신설선","4713","신설동",2586,2656,"20191104"
"20191101","우이신설선","4712","보문",1903,1853,"20191104"
"20191101","우이신설선","4711","성신여대입구(돈암)",4151,4792,"20191104"
"20191101","우이신설선","4710","정릉",5330,4676,"20191104"
"20191101","우이신설선","4709","북한산보국문",7391,6510,"20191104"
"20191101","우이신설선","4708","솔샘",6761,6109,"20191104"
"20191101","우이신설선","4707","삼양사거리",2725,2810,"20191104"
"20191101","우이신설선","4706","삼양",2312,2455,"20191104"
"20191101","우이신설선","4705","화계",3892,3680,"20191104"
"20191101","우이신설선","4704","가오리",4847,4632,"20191104"
"20191101","우이신설선","4703","4.19민주묘지",3908,3630,"20191104"
"20191101","우이신설선","4702","솔밭공원",2858,2688,"20191104"
"20191101","우이신설선","4701","북한산우이",3445,3117,"20191104"
"20191101","9호선2~3단계","4138","중앙보훈병원",10224,9269,"20191104"
"20191101","9호선2~3단계","4137","둔촌오륜",1283,1074,"20191104"
"20191101","9호선2~3단계","4136","올림픽공원(한국체대)",7692,7803,"20191104"
"20191101","9호선2~3단계","4135","한성백제",2776,2415,"20191104"
"20191101","9호선2~3단계","4134","송파나루",4514,4823,"20191104"
"20191101","9호선2~3단계","4133","석촌",8428,6991,"20191104"
"20191101","9호선2~3단계","4132","석촌고분",5773,5548,"20191104"
"20191101","9호선2~3단계","4131","삼전",6450,6354,"20191104"
"20191101","9호선2~3단계","4130","종합운동장",5385,4988,"20191104"
"20191101","9호선2~3단계","4129","봉은사",21957,21877,"20191104"
"20191101","9호선2~3단계","4128","삼성중앙",7528,7465,"20191104"
"20191101","1호선","0150","서울역",69942,67456,"20191104"
"20191101","1호선","0151","시청",32587,33439,"20191104"
"20191101","1호선","0152","종각",52010,51248,"20191104"
"20191101","1호선","0153","종로3가",36949,34381,"20191104"
"20191101","1호선","0154","종로5가",30788,31401,"20191104"
"20191101","1호선","0155","동대문",15830,17273,"20191104"
"20191101","1호선","0156","신설동",19302,18735,"20191104"
"20191101","1호선","0157","제기동",22630,23001,"20191104"
"20191101","1호선","0158","청량리(서울시립대입구)",27788,28310,"20191104"
"20191101","1호선","0159","동묘앞",10837,11394,"20191104"
"20191101","2호선","0201","시청",33040,31632,"20191104"
"20191101","2호선","0202","을지로입구",61785,61619,"20191104"
"20191101","2호선","0203","을지로3가",29431,29591,"20191104"
"20191101","2호선","0204","을지로4가",16389,16583,"20191104"
"20191101","2호선","0205","동대문역사문화공원",21487,25674,"20191104"
"20191101","2호선","0206","신당",17348,17879,"20191104"
"20191101","2호선","0207","상왕십리",17479,16336,"20191104"
"20191101","2호선","0208","왕십리(성동구청)",23837,19384,"20191104"
"20191101","2호선","0209","한양대",14071,16129,"20191104"
"20191101","2호선","0210","뚝섬",23631,25086,"20191104"
"20191101","2호선","0211","성수",37077,40982,"20191104"
"20191101","2호선","0212","건대입구",50495,57215,"20191104"
"20191101","2호선","0213","구의(광진구청)",28769,27482,"20191104"
"20191101","2호선","0214","강변(동서울터미널)",52733,51565,"20191104"
"20191101","2호선","0215","잠실나루",19308,18488,"20191104"
"20191101","2호선","0216","잠실(송파구청)",99641,97349,"20191104"
"20191101","2호선","0217","잠실새내",28911,29650,"20191104"
"20191101","2호선","0218","종합운동장",10506,11213,"20191104"
"20191101","2호선","0219","삼성(무역센터)",72643,74041,"20191104"
"20191101","2호선","0220","선릉",66590,59958,"20191104"
"20191101","2호선","0221","역삼",59305,67606,"20191104"
"20191101","2호선","0222","강남",113878,119625,"20191104"
"20191101","2호선","0223","교대(법원.검찰청)",43268,49663,"20191104"
"20191101","2호선","0224","서초",26978,26543,"20191104"
"20191101","2호선","0225","방배",21584,22086,"20191104"
"20191101","2호선","0226","사당",50879,56272,"20191104"
"20191101","2호선","0227","낙성대",35465,32454,"20191104"
"20191101","2호선","0228","서울대입구(관악구청)",62455,58787,"20191104"
"20191101","2호선","0229","봉천",29622,26455,"20191104"
"20191101","2호선","0230","신림",80093,77782,"20191104"
"20191101","2호선","0231","신대방",33245,31260,"20191104"
"20191101","2호선","0232","구로디지털단지",76023,76253,"20191104"
"20191101","2호선","0233","대림(구로구청)",32473,33517,"20191104"
"20191101","2호선","0234","신도림",67174,67346,"20191104"
"20191101","2호선","0235","문래",24438,24933,"20191104"
"20191101","2호선","0236","영등포구청",27314,27811,"20191104"
"20191101","2호선","0237","당산",25765,29268,"20191104"
"20191101","2호선","0238","합정",40347,44521,"20191104"
"20191101","2호선","0239","홍대입구",89501,101342,"20191104"
"20191101","2호선","0240","신촌",56350,58504,"20191104"
"20191101","2호선","0241","이대",24825,25408,"20191104"
"20191101","2호선","0242","아현",13344,12286,"20191104"
"20191101","2호선","0243","충정로(경기대입구)",13558,14419,"20191104"
"20191101","2호선","0244","용답",3356,3272,"20191104"
"20191101","2호선","0245","신답",1973,2127,"20191104"
"20191101","2호선","0246","신설동",4574,4463,"20191104"
"20191101","2호선","0247","도림천",1488,1575,"20191104"
"20191101","2호선","0248","양천구청",8693,9020,"20191104"
"20191101","2호선","0249","신정네거리",11441,11968,"20191104"
"20191101","2호선","0250","용두(동대문구청)",2848,2892,"20191104"
"20191101","3호선","0309","지축",1580,1652,"20191104"
"20191101","3호선","0310","구파발",27336,25234,"20191104"
"20191101","3호선","0311","연신내",47871,45470,"20191104"
"20191101","3호선","0312","불광",21392,22976,"20191104"
"20191101","3호선","0313","녹번",17245,14688,"20191104"
"20191101","3호선","0314","홍제",22691,21103,"20191104"
"20191101","3호선","0315","무악재",4745,4868,"20191104"
"20191101","3호선","0316","독립문",9798,9955,"20191104"
"20191101","3호선","0317","경복궁(정부서울청사)",33042,33595,"20191104"
"20191101","3호선","0318","안국",32141,34338,"20191104"
"20191101","3호선","0319","종로3가",13221,16722,"20191104"
"20191101","3호선","0320","을지로3가",14682,15254,"20191104"
"20191101","3호선","0321","충무로",2,0,"20191104"
"20191101","3호선","0322","동대입구",13237,14441,"20191104"
"20191101","3호선","0323","약수",17112,16381,"20191104"
"20191101","3호선","0324","금호",10326,9344,"20191104"
"20191101","3호선","0325","옥수",11901,11958,"20191104"
"20191101","3호선","0326","압구정",39321,42731,"20191104"
"20191101","3호선","0327","신사",38577,42817,"20191104"
"20191101","3호선","0328","잠원",7893,7441,"20191104"
"20191101","3호선","0329","고속터미널",67685,69208,"20191104"
"20191101","3호선","0330","교대(법원.검찰청)",18083,11890,"20191104"
"20191101","3호선","0331","남부터미널(예술의전당)",42098,42264,"20191104"
"20191101","3호선","0332","양재(서초구청)",51242,53874,"20191104"
"20191101","3호선","0333","매봉",14149,13571,"20191104"
"20191101","3호선","0334","도곡",7011,6927,"20191104"
"20191101","3호선","0335","대치",14368,14273,"20191104"
"20191101","3호선","0336","학여울",4766,5224,"20191104"
"20191101","3호선","0337","대청",12534,11134,"20191104"
"20191101","3호선","0338","일원",12085,11741,"20191104"
"20191101","3호선","0339","수서",23173,22302,"20191104"
"20191101","3호선","0340","가락시장",12013,11903,"20191104"
"20191101","3호선","0341","경찰병원",9181,9095,"20191104"
"20191101","3호선","0342","오금",8094,7154,"20191104"
"20191101","4호선","0409","당고개",15308,14131,"20191104"
"20191101","4호선","0410","상계",24671,21817,"20191104"
"20191101","4호선","0411","노원",25284,29304,"20191104"
"20191101","4호선","0412","창동",33955,36317,"20191104"
"20191101","4호선","0413","쌍문",37499,33362,"20191104"
"20191101","4호선","0414","수유(강북구청)",44427,44177,"20191104"
"20191101","4호선","0415","미아(서울사이버대학)",20392,19262,"20191104"
"20191101","4호선","0416","미아사거리",35705,34921,"20191104"
"20191101","4호선","0417","길음",28003,26040,"20191104"
"20191101","4호선","0418","성신여대입구(돈암)",28953,27200,"20191104"
"20191101","4호선","0419","한성대입구(삼선교)",19523,18175,"20191104"
"20191101","4호선","0420","혜화",49223,49645,"20191104"
"20191101","4호선","0421","동대문",28917,29668,"20191104"
"20191101","4호선","0422","동대문역사문화공원",26221,24052,"20191104"
"20191101","4호선","0423","충무로",41482,42638,"20191104"
"20191101","4호선","0424","명동",42863,46540,"20191104"
"20191101","4호선","0425","회현(남대문시장)",35783,38675,"20191104"
"20191101","4호선","0426","서울역",16894,29380,"20191104"
"20191101","4호선","0427","숙대입구(갈월)",19305,18968,"20191104"
"20191101","4호선","0428","삼각지",6159,7171,"20191104"
"20191101","4호선","0429","신용산",21087,22079,"20191104"
"20191101","4호선","0430","이촌(국립중앙박물관)",10164,11149,"20191104"
"20191101","4호선","0431","동작(현충원)",3046,3347,"20191104"
"20191101","4호선","0432","총신대입구(이수)",25460,27937,"20191104"
"20191101","4호선","0433","사당",34535,30048,"20191104"
"20191101","4호선","0434","남태령",1951,1525,"20191104"
"20191101","경부선","1001","서울역",9627,2325,"20191104"
"20191101","경부선","1002","남영",13443,14166,"20191104"
"20191101","경부선","1003","용산",49673,52489,"20191104"
"20191101","경부선","1004","노량진",14069,12962,"20191104"
"20191101","경부선","1005","대방",17583,17280,"20191104"
"20191101","경부선","1006","영등포",54790,58496,"20191104"
"20191101","경부선","1007","신도림",5049,5155,"20191104"
"20191101","경부선","1032","신길",11754,9561,"20191104"
"20191101","경부선","1701","구로",21996,22850,"20191104"
"20191101","경부선","1702","가산디지털단지",21494,24568,"20191104"
"20191101","경부선","1703","금천구청",14740,14376,"20191104"
"20191101","경부선","1704","석수",13901,12028,"20191104"
"20191101","경부선","1705","관악",9875,9286,"20191104"
"20191101","경부선","1706","안양",32961,33876,"20191104"
"20191101","경부선","1707","명학",11937,11958,"20191104"
"20191101","경부선","1708","금정",31431,32019,"20191104"
"20191101","경부선","1709","군포",9284,9102,"20191104"
"20191101","경부선","1710","의왕",11607,11130,"20191104"
"20191101","경부선","1711","성균관대",20038,18712,"20191104"
"20191101","경부선","1712","화서",9841,9772,"20191104"
"20191101","경부선","1713","수원",52081,56598,"20191104"
"20191101","경부선","1714","독산",20064,21045,"20191104"
"20191101","경부선","1715","세류",5145,4279,"20191104"
"20191101","경부선","1716","병점",20299,19367,"20191104"
"20191101","경부선","1717","세마",3621,3253,"20191104"
"20191101","경부선","1718","오산대",4353,4371,"20191104"
"20191101","경부선","1719","오산",12693,11677,"20191104"
"20191101","경부선","1720","진위",2404,1900,"20191104"
"20191101","경부선","1721","송탄",5821,5512,"20191104"
"20191101","경부선","1722","서정리",6724,5971,"20191104"
"20191101","경부선","1723","지제",3446,3335,"20191104"
"20191101","경부선","1724","평택",16895,15824,"20191104"
"20191101","경부선","1725","성환",6601,5554,"20191104"
"20191101","경부선","1726","직산",1138,1054,"20191104"
"20191101","경부선","1727","두정",7933,6871,"20191104"
"20191101","경부선","1728","천안",8524,8062,"20191104"
"20191101","경부선","1729","당정",8899,8303,"20191104"
"20191101","경부선","1749","서동탄",2155,1787,"20191104"
"20191101","경부선","1750","광명",4301,3516,"20191104"
"20191101","경인선","1801","개봉",27357,26628,"20191104"
"20191101","경인선","1802","오류동",14639,13747,"20191104"
"20191101","경인선","1803","역곡",37533,36443,"20191104"
"20191101","경인선","1804","부천",44148,45510,"20191104"
"20191101","경인선","1805","송내",37391,37129,"20191104"
"20191101","경인선","1806","부평",40427,46363,"20191104"
"20191101","경인선","1807","백운",10326,9919,"20191104"
