"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20200301","경춘선","1320","대성리","277","204","20200304"
"20200301","수인선","1889","숭의","1085","1063","20200304"
"20200301","수인선","1890","신포","503","540","20200304"
"20200301","수인선","1891","인천","398","565","20200304"
"20200301","안산선","1751","산본","5160","5448","20200304"
"20200301","안산선","1752","대야미","1768","1594","20200304"
"20200301","안산선","1753","반월","1431","1415","20200304"
"20200301","안산선","1754","상록수","6039","5868","20200304"
"20200301","안산선","1755","한대앞","2454","2423","20200304"
"20200301","안산선","1756","중앙","5480","5460","20200304"
"20200301","안산선","1757","고잔","2130","2144","20200304"
"20200301","안산선","1758","초지","1085","1085","20200304"
"20200301","안산선","1759","안산","4410","4035","20200304"
"20200301","안산선","1760","신길온천","513","502","20200304"
"20200301","안산선","1761","정왕","2283","2472","20200304"
"20200301","안산선","1762","오이도","2714","2727","20200304"
"20200301","안산선","1763","수리산","1171","1141","20200304"
"20200301","우이신설선","4701","북한산우이","1713","1750","20200304"
"20200301","우이신설선","4702","솔밭공원","911","794","20200304"
"20200301","우이신설선","4703","4.19민주묘지","1096","961","20200304"
"20200301","우이신설선","4704","가오리","1444","1300","20200304"
"20200301","우이신설선","4709","북한산보국문","2177","1932","20200304"
"20200301","우이신설선","4710","정릉","1454","1253","20200304"
"20200301","우이신설선","4711","성신여대입구(돈암)","1170","1388","20200304"
"20200301","우이신설선","4712","보문","564","542","20200304"
"20200301","우이신설선","4713","신설동","636","646","20200304"
"20200301","일산선","1948","원흥","2584","2414","20200304"
"20200301","일산선","1950","삼송","5161","5066","20200304"
"20200301","일산선","1951","원당","3408","3343","20200304"
"20200301","일산선","1952","화정","5155","5235","20200304"
"20200301","일산선","1953","대곡","537","439","20200304"
"20200301","일산선","1954","백석","3304","3253","20200304"
"20200301","일산선","1955","마두","1734","1745","20200304"
"20200301","일산선","1956","정발산","2429","2396","20200304"
"20200301","일산선","1957","주엽","2072","2050","20200304"
"20200301","일산선","1958","대화","3565","3228","20200304"
"20200301","장항선","1401","봉명","260","233","20200304"
"20200301","장항선","1402","쌍용(나사렛대)","447","414","20200304"
"20200301","장항선","1403","아산","727","624","20200304"
"20200301","장항선","1405","배방","255","309","20200304"
