"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20200523","중앙선","지평","74","49","20200526"
"20200523","중앙선","용문","2262","2587","20200526"
"20200523","중앙선","원덕","438","441","20200526"
"20200523","중앙선","양평","3538","3645","20200526"
"20200523","중앙선","오빈","291","295","20200526"
"20200523","중앙선","아신","652","624","20200526"
"20200523","중앙선","국수","797","830","20200526"
"20200523","중앙선","신원","365","241","20200526"
"20200523","중앙선","양수","2403","2301","20200526"
"20200523","중앙선","운길산","1774","1665","20200526"
"20200523","중앙선","팔당","1850","2118","20200526"
"20200523","중앙선","도심","1686","1502","20200526"
"20200523","중앙선","덕소","4636","4620","20200526"
"20200523","중앙선","양정","718","620","20200526"
"20200523","중앙선","도농","6449","6022","20200526"
"20200523","중앙선","구리","10241","10612","20200526"
"20200523","중앙선","양원","1223","1222","20200526"
"20200523","중앙선","망우","6150","5904","20200526"
"20200523","중앙선","상봉(시외버스터미널)","5096","4753","20200526"
"20200523","중앙선","중랑","4354","4170","20200526"
"20200523","중앙선","회기","18612","17705","20200526"
"20200523","장항선","신창(순천향대)","1021","963","20200526"
"20200523","장항선","온양온천","3616","3633","20200526"
"20200523","장항선","배방","1008","900","20200526"
"20200523","장항선","아산","2350","2246","20200526"
"20200523","장항선","쌍용(나사렛대)","1508","1363","20200526"
"20200523","장항선","봉명","738","689","20200526"
"20200523","일산선","대화","8734","7534","20200526"
"20200523","일산선","주엽","5972","5956","20200526"
"20200523","일산선","정발산","6542","6999","20200526"
"20200523","일산선","마두","4901","5041","20200526"
"20200523","일산선","백석","7481","7550","20200526"
"20200523","일산선","대곡","1352","1124","20200526"
"20200523","일산선","화정","12696","13170","20200526"
"20200523","일산선","원당","8308","7865","20200526"
"20200523","일산선","삼송","12534","11981","20200526"
"20200523","일산선","원흥","6116","5800","20200526"
"20200523","우이신설선","신설동","1391","1429","20200526"
"20200523","우이신설선","보문","1148","1093","20200526"
"20200523","우이신설선","성신여대입구(돈암)","2540","2964","20200526"
"20200523","우이신설선","정릉","3456","2868","20200526"
"20200523","우이신설선","북한산보국문","4468","3976","20200526"
"20200523","우이신설선","솔샘","3579","3252","20200526"
"20200523","우이신설선","삼양사거리","1861","1815","20200526"
"20200523","우이신설선","삼양","1623","1654","20200526"
"20200523","우이신설선","화계","2312","2043","20200526"
"20200523","우이신설선","가오리","2775","2560","20200526"
"20200523","우이신설선","4.19민주묘지","2265","2140","20200526"
"20200523","우이신설선","솔밭공원","1699","1606","20200526"
"20200523","우이신설선","북한산우이","3896","4012","20200526"
"20200523","안산선","수리산","2797","2657","20200526"
"20200523","안산선","오이도","7264","7548","20200526"
"20200523","안산선","정왕","5136","5081","20200526"
"20200523","안산선","신길온천","1263","1198","20200526"
"20200523","안산선","안산","9254","10175","20200526"
"20200523","안산선","초지","2792","2792","20200526"
"20200523","안산선","고잔","5450","5532","20200526"
"20200523","안산선","중앙","13530","14388","20200526"
"20200523","안산선","한대앞","5760","5602","20200526"
"20200523","안산선","상록수","13539","12959","20200526"
"20200523","안산선","반월","3559","3139","20200526"
"20200523","안산선","대야미","3971","3492","20200526"
"20200523","안산선","산본","11297","11701","20200526"
"20200523","수인선","인천","782","1327","20200526"
"20200523","수인선","신포","1117","1231","20200526"
"20200523","수인선","숭의","2161","1970","20200526"
"20200523","수인선","인하대","2815","2561","20200526"
"20200523","수인선","송도","1793","1758","20200526"
"20200523","수인선","연수","3314","3302","20200526"
"20200523","수인선","원인재","3029","3082","20200526"
"20200523","수인선","남동인더스파크","774","742","20200526"
"20200523","수인선","호구포","2057","1868","20200526"
"20200523","수인선","인천논현","3805","3871","20200526"
"20200523","수인선","소래포구","5022","5168","20200526"
"20200523","수인선","월곶","1727","1632","20200526"
"20200523","수인선","달월","61","56","20200526"
"20200523","분당선","매교","1482","1499","20200526"
"20200523","분당선","수원시청","9002","10300","20200526"
"20200523","분당선","매탄권선","3231","2868","20200526"
"20200523","분당선","망포","8202","7205","20200526"
"20200523","분당선","영통","6072","6197","20200526"
"20200523","분당선","청명","2689","2578","20200526"
"20200523","분당선","상갈","3630","3543","20200526"
"20200523","분당선","기흥","6387","6039","20200526"
"20200523","분당선","신갈","2553","2568","20200526"
"20200523","분당선","구성","3140","3147","20200526"
"20200523","분당선","죽전","10014","11106","20200526"
"20200523","분당선","보정","1573","1379","20200526"
"20200523","분당선","이매","3923","3627","20200526"
"20200523","분당선","오리","7687","6479","20200526"
"20200523","분당선","미금","10302","10213","20200526"
"20200523","분당선","정자","10422","10726","20200526"
"20200523","분당선","수내","8407","7883","20200526"
"20200523","분당선","서현","17533","17703","20200526"
"20200523","분당선","야탑","16522","17630","20200526"
"20200523","분당선","모란","15579","15856","20200526"
"20200523","분당선","태평","10226","9658","20200526"
"20200523","분당선","가천대","4921","5331","20200526"
"20200523","분당선","선정릉","3554","3654","20200526"
"20200523","분당선","강남구청","4784","5804","20200526"
"20200523","분당선","압구정로데오","14024","16796","20200526"
"20200523","분당선","서울숲","8424","8956","20200526"
"20200523","분당선","수원","6137","4210","20200526"
"20200523","분당선","수서","9488","9907","20200526"
"20200523","분당선","대모산입구","2240","1972","20200526"
"20200523","분당선","개포동","2322","2217","20200526"
"20200523","분당선","구룡","843","829","20200526"
"20200523","분당선","도곡","3849","3614","20200526"
"20200523","분당선","한티","9933","9679","20200526"
"20200523","분당선","선릉","5321","8775","20200526"
"20200523","과천선","범계","18183","17372","20200526"
"20200523","과천선","평촌","8668","8521","20200526"
"20200523","과천선","인덕원","14554","13962","20200526"
"20200523","과천선","정부과천청사","5351","5332","20200526"
"20200523","과천선","과천","3684","3169","20200526"
"20200523","과천선","대공원","5379","6041","20200526"
"20200523","과천선","경마공원","1059","1050","20200526"
"20200523","과천선","선바위","5126","4498","20200526"
"20200523","공항철도 1호선","영종","2316","2336","20200526"
"20200523","공항철도 1호선","인천공항2터미널","1384","1168","20200526"
"20200523","공항철도 1호선","인천공항1터미널","2809","2886","20200526"
"20200523","공항철도 1호선","공항화물청사","1259","1304","20200526"
"20200523","공항철도 1호선","운서","5158","5252","20200526"
"20200523","공항철도 1호선","청라국제도시","3318","3294","20200526"
"20200523","공항철도 1호선","검암","4453","4610","20200526"
"20200523","공항철도 1호선","계양","5937","5457","20200526"
"20200523","공항철도 1호선","김포공항","6909","3966","20200526"
"20200523","공항철도 1호선","마곡나루(서울식물원)","2276","2427","20200526"
"20200523","공항철도 1호선","디지털미디어시티","5016","4756","20200526"
"20200523","공항철도 1호선","홍대입구","7114","7036","20200526"
"20200523","공항철도 1호선","공덕","1347","1998","20200526"
"20200523","공항철도 1호선","서울역","5513","5702","20200526"
"20200523","경춘선","춘천","2019","1677","20200526"
"20200523","경춘선","남춘천","2432","2542","20200526"
"20200523","경춘선","김유정","513","656","20200526"
"20200523","경춘선","강촌","824","777","20200526"
"20200523","경춘선","백양리","135","146","20200526"
"20200523","경춘선","굴봉산","258","284","20200526"
"20200523","경춘선","가평","1958","2181","20200526"
"20200523","경춘선","상천","534","458","20200526"
"20200523","경춘선","청평","1850","2022","20200526"
"20200523","경춘선","대성리","823","704","20200526"
"20200523","경춘선","마석","3092","3068","20200526"
