"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20190201","중앙선","1213","신원","186","164","20190204"
"20190201","중앙선","1214","국수","668","669","20190204"
"20190201","중앙선","1215","아신","556","571","20190204"
"20190201","중앙선","1216","오빈","300","307","20190204"
"20190201","중앙선","1217","양평","2975","3236","20190204"
"20190201","중앙선","1218","원덕","323","343","20190204"
"20190201","중앙선","1219","용문","1802","2043","20190204"
"20190201","중앙선","1220","지평","31","42","20190204"
"20190201","우이신설선","4707","삼양사거리","2599","2793","20190204"
"20190201","우이신설선","4708","솔샘","6117","5515","20190204"
"20190201","우이신설선","4709","북한산보국문","6392","5815","20190204"
"20190201","우이신설선","4710","정릉","4677","4101","20190204"
"20190201","우이신설선","4711","성신여대입구(돈암)","3966","4280","20190204"
"20190201","우이신설선","4712","보문","1768","1784","20190204"
"20190201","우이신설선","4713","신설동","2044","2231","20190204"
"20190201","일산선","1948","원흥","9495","8281","20190204"
"20190201","일산선","1950","삼송","17879","16919","20190204"
"20190201","일산선","1951","원당","12803","12123","20190204"
"20190201","일산선","1952","화정","20920","22150","20190204"
"20190201","일산선","1953","대곡","1702","1245","20190204"
"20190201","일산선","1954","백석","12755","12789","20190204"
"20190201","일산선","1955","마두","9437","9813","20190204"
"20190201","일산선","1956","정발산","9110","10044","20190204"
"20190201","일산선","1957","주엽","10848","10873","20190204"
"20190201","일산선","1958","대화","15805","12237","20190204"
"20190201","장항선","1401","봉명","1421","1321","20190204"
"20190201","장항선","1402","쌍용(나사렛대)","2194","1991","20190204"
"20190201","장항선","1403","아산","2823","3227","20190204"
"20190201","장항선","1405","배방","1096","1030","20190204"
"20190201","장항선","1407","온양온천","4997","5029","20190204"
"20190201","장항선","1408","신창(순천향대)","1297","992","20190204"
"20190201","중앙선","1015","회기","28376","25984","20190204"
"20190201","중앙선","1201","중랑","6362","5940","20190204"
"20190201","중앙선","1202","상봉(시외버스터미널)","6403","6188","20190204"
"20190201","중앙선","1203","망우","8901","8842","20190204"
"20190201","중앙선","1204","양원","1566","1626","20190204"
"20190201","중앙선","1205","구리","15818","16252","20190204"
"20190201","중앙선","1206","도농","9984","8790","20190204"
"20190201","중앙선","1207","양정","858","684","20190204"
"20190201","중앙선","1208","덕소","6787","6625","20190204"
"20190201","공항철도 1호선","4215","인천공항2터미널","5919","5464","20190204"
"20190201","공항철도 1호선","4217","영종","2521","2477","20190204"
"20190201","과천선","1450","선바위","10532","8268","20190204"
"20190201","과천선","1451","경마공원","9111","9256","20190204"
"20190201","과천선","1452","대공원","2207","2356","20190204"
"20190201","과천선","1453","과천","5502","4764","20190204"
"20190201","과천선","1454","정부과천청사","12484","12129","20190204"
"20190201","과천선","1455","인덕원","28733","28378","20190204"
"20190201","과천선","1456","평촌","19818","19665","20190204"
"20190201","과천선","1457","범계","32969","32855","20190204"
"20190201","분당선","1023","선릉","11788","20396","20190204"
"20190201","분당선","1024","한티","17235","17932","20190204"
"20190201","분당선","1025","도곡","7376","7211","20190204"
"20190201","분당선","1026","구룡","1426","1348","20190204"
"20190201","분당선","1027","개포동","3649","3712","20190204"
"20190201","분당선","1028","대모산입구","3698","3386","20190204"
"20190201","분당선","1030","수서","15226","17962","20190204"
"20190201","분당선","1846","수원","10164","7236","20190204"
"20190201","분당선","1847","서울숲","8449","8091","20190204"
"20190201","분당선","1848","압구정로데오","18486","21607","20190204"
"20190201","분당선","1849","강남구청","10910","12342","20190204"
"20190201","분당선","1850","선정릉","9240","9801","20190204"
"20190201","분당선","1851","가천대","7463","7824","20190204"
"20190201","분당선","1852","태평","16240","15584","20190204"
"20190201","분당선","1853","모란","24001","23957","20190204"
"20190201","분당선","1854","야탑","32946","35725","20190204"
"20190201","중앙선","1209","도심","2760","2163","20190204"
"20190201","중앙선","1210","팔당","707","698","20190204"
"20190201","중앙선","1211","운길산","539","548","20190204"
"20190201","경인선","1814","소사","11251","10297","20190204"
"20190201","분당선","1861","보정","2979","2426","20190204"
"20190201","3호선","0328","잠원","7109","6817","20190204"
