"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20200311","중앙선","지평","29","26","20200314"
"20200311","중앙선","용문","1058","1088","20200314"
"20200311","중앙선","원덕","213","211","20200314"
"20200311","중앙선","양평","1840","1855","20200314"
"20200311","중앙선","오빈","188","197","20200314"
"20200311","중앙선","아신","390","408","20200314"
"20200311","중앙선","국수","497","519","20200314"
"20200311","중앙선","신원","145","134","20200314"
"20200311","중앙선","양수","1220","1265","20200314"
"20200311","중앙선","운길산","574","534","20200314"
"20200311","중앙선","팔당","636","620","20200314"
"20200311","중앙선","도심","2131","1605","20200314"
"20200311","중앙선","덕소","4615","4565","20200314"
"20200311","중앙선","양정","718","621","20200314"
"20200311","중앙선","도농","7745","7065","20200314"
"20200311","중앙선","구리","11035","11236","20200314"
"20200311","중앙선","양원","1094","1080","20200314"
"20200311","중앙선","망우","6065","5904","20200314"
"20200311","중앙선","상봉(시외버스터미널)","4726","4600","20200314"
"20200311","중앙선","중랑","4408","4268","20200314"
"20200311","중앙선","회기","17322","16549","20200314"
"20200311","장항선","신창(순천향대)","580","562","20200314"
"20200311","장항선","온양온천","1812","1793","20200314"
"20200311","장항선","배방","521","507","20200314"
"20200311","장항선","아산","1241","1174","20200314"
"20200311","장항선","쌍용(나사렛대)","1061","967","20200314"
"20200311","장항선","봉명","748","741","20200314"
"20200311","일산선","대화","10606","8205","20200314"
"20200311","일산선","주엽","6473","6562","20200314"
"20200311","일산선","정발산","5530","5919","20200314"
"20200311","일산선","마두","5776","5973","20200314"
"20200311","일산선","백석","7905","7973","20200314"
"20200311","일산선","대곡","1395","1016","20200314"
"20200311","일산선","화정","13365","13743","20200314"
"20200311","일산선","원당","8863","8434","20200314"
"20200311","일산선","삼송","13768","13196","20200314"
"20200311","일산선","원흥","7324","7008","20200314"
"20200311","우이신설선","신설동","1813","1775","20200314"
"20200311","우이신설선","보문","1164","1168","20200314"
"20200311","우이신설선","성신여대입구(돈암)","2349","2675","20200314"
